wellName,datasetName,DEPT,GR_NORM,ILD,NPHI_HC,PHIE_D,PHIT_D,RHOB_HC,VSH_FINAL,Core_facies1
,,ft,gAPI,ohm.m,frac,v/v,v/v,g/cm3,v/v,
ADSW-4ST3,ADSW-4ST3,6607.5,117.0686,1.02,0.4,0.04496421,0.1575757,2.39,0.7146501,-9999
ADSW-4ST3,ADSW-4ST3,6608,116.0846,1.05,0.4,0.04496421,0.1575757,2.39,0.7146501,-9999
ADSW-4ST3,ADSW-4ST3,6608.5,115.2731,1.05,0.4,0.05420614,0.169697,2.37,0.6805711,-9999
ADSW-4ST3,ADSW-4ST3,6609,118.4684,0.99,0.4,0.05913687,0.1757576,2.36,0.6635317,-9999
ADSW-4ST3,ADSW-4ST3,6609.5,118.3365,0.92,0.39,0.05888363,0.169697,2.37,0.6530073,-9999
ADSW-4ST3,ADSW-4ST3,6610,119.8784,0.88,0.38,0.04900572,0.1515151,2.4,0.6765621,-9999
ADSW-4ST3,ADSW-4ST3,6610.5,116.044,0.9,0.4,0.03654853,0.1454545,2.41,0.7487288,-9999
ADSW-4ST3,ADSW-4ST3,6611,113.6907,0.86,0.43,0.02812418,0.1515151,2.4,0.8143803,-9999
ADSW-4ST3,ADSW-4ST3,6611.5,109.1463,0.87,0.46,0.01559525,0.1515151,2.4,0.8970713,-9999
ADSW-4ST3,ADSW-4ST3,6612,109.4912,0.99,0.44,0.0142584,0.1333333,2.43,0.8930619,-9999
ADSW-4ST3,ADSW-4ST3,6612.5,110.3433,1.07,0.43,0.007237568,0.1090909,2.47,0.9336556,-9999
ADSW-4ST3,ADSW-4ST3,6613,115.9122,1,0.43,0.01793355,0.1333333,2.43,0.8654983,-9999
ADSW-4ST3,ADSW-4ST3,6613.5,116.4194,0.98,0.42,0.04485122,0.169697,2.37,0.7356983,-9999
ADSW-4ST3,ADSW-4ST3,6614,113.9037,1.07,0.44,0.04422784,0.1818182,2.35,0.7567469,-9999
ADSW-4ST3,ADSW-4ST3,6614.5,111.1751,1.01,0.44,0.04890342,0.1878788,2.34,0.7397076,-9999
ADSW-4ST3,ADSW-4ST3,6615,112.8792,0.95,0.45,0.04843988,0.1939394,2.33,0.7502319,-9999
ADSW-4ST3,ADSW-4ST3,6615.5,114.4008,0.86,0.42,0.06447692,0.1939394,2.33,0.667541,-9999
